"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births	% of Total Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age
	"2019"	"2019"	"San Diego County, CA"	"06073"	2639	0.59%	2003.67	501.27	30.96	6.22	34.43	3.90
	"2019"	"2019"	"San Francisco County, CA"	"06075"	605	0.14%	2053.02	449.34	33.85	5.42	34.78	3.47
	"2019"	"2019"	"San Joaquin County, CA"	"06077"	792	0.18%	1987.91	494.60	29.39	5.90	34.67	4.02
	"2019"	"2019"	"San Luis Obispo County, CA"	"06079"	158	0.04%	1980.77	551.56	30.79	5.63	34.23	4.36
	"2019"	"2019"	"San Mateo County, CA"	"06081"	517	0.12%	2010.59	506.68	32.62	5.55	34.65	3.85
	"2019"	"2019"	"Santa Barbara County, CA"	"06083"	341	0.08%	2004.08	481.07	29.58	6.59	33.95	3.77
	"2019"	"2019"	"Santa Clara County, CA"	"06085"	1508	0.34%	2055.58	446.13	32.33	5.53	34.72	3.40
	"2019"	"2019"	"Santa Cruz County, CA"	"06087"	150	0.03%	1949.16	497.76	30.99	6.74	33.77	3.96
	"2019"	"2019"	"Shasta County, CA"	"06089"	132	0.03%	1943.20	546.25	28.20	6.08	34.28	4.18
	"2019"	"2019"	"Solano County, CA"	"06095"	380	0.09%	1983.78	506.27	30.82	5.75	34.52	4.04
	"2019"	"2019"	"Sonoma County, CA"	"06097"	255	0.06%	2015.38	442.68	31.53	6.47	34.73	3.63
	"2019"	"2019"	"Stanislaus County, CA"	"06099"	440	0.10%	1958.65	538.35	29.38	6.35	34.22	4.59
	"2019"	"2019"	"Tulare County, CA"	"06107"	480	0.11%	1995.07	509.36	28.34	6.11	34.24	4.14
	"2019"	"2019"	"Ventura County, CA"	"06111"	558	0.13%	1969.81	523.53	31.22	6.28	34.13	4.09
	"2019"	"2019"	"Yolo County, CA"	"06113"	126	0.03%	1999.80	513.45	29.98	5.98	34.18	4.15
	"2019"	"2019"	"Unidentified Counties, CA"	"06999"	683	0.15%	2002.34	519.19	29.35	6.20	34.43	4.14
"Total"	"2019"	"2019"			31699	7.12%	1994.19	504.16	30.78	6.29	34.43	3.97
"Total"					444905	100.00%	1986.97	517.09	29.58	6.69	34.39	4.07
"---"
"Dataset: Natality, 2007-2019"
"Query Parameters:"
"Title: 2007 MCH CDC Data"
"Infant Birth Weight 12: 499 grams or less; 500 - 999 grams; 1000 - 1499 grams; 1500 - 1999 grams; 2000 - 2499 grams"
"States: California (06)"
"Group By: Year; County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Nov 26, 2020 10:42:47 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2019, on CDC"
"WONDER Online Database, October 2020. Accessed at http://wonder.cdc.gov/natality-current.html on Nov 26, 2020 10:42:47 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"3. For birth weight data shown in WONDER before May 8, 2015, 21 births that occurred in year 2011 were erroneously reported in"
"the birth weight category 5000-8165 grams, instead of the ""Not stated"" birth weight category. These 21 births are now reported"
"in ""Not stated"" birth weight category."
"4. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
"(21093); Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063);"
"Cecil County, MD (24015); St. Mary's County, MD (24037); Scott County, MN (27139); Wright County, MN (27171); Franklin County,"
"MO (29071); Missoula County, MT (30063); Sandoval County, NM (35043); Tompkins County, NY (36109); Brunswick County, NC (37019);"
"Craven County, NC (37049); Harnett County, NC (37085); Henderson County, NC (37089); Miami County, OH (39109); Canadian County,"
"OK (40017); Adams County, PA (42001); Dorchester County, SC (45035); Pennington County, SD (46103); Wilson County, TN (47189);"
"Comal County, TX (48091); Guadalupe County, TX (48187); Hays County, TX (48209); Kaufman County, TX (48257); Parker County, TX"
"(48367); Cache County, UT (49005); Washington County, UT (49053); Spotsylvania County, VA (51177); Stafford County, VA (51179);"
"Cowlitz County, WA (53015); Berkeley County, WV (54003); Fond du Lac County, WI (55039); Walworth County, WI (55127). </p> <p>"
"After 2013 the data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the"
"county because they did not meet minimum population standards. Cape May County, NJ (34009); Portsmouth city, VA (51740). </p>"
"5. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years."
"All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a"
"great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average"
"Age of Mother measure."
"6. Please note that the Percent of Total presented here may not be consistent with percentages published by NCHS. NCHS excludes"
"births categorized as ""Unknown"", ""Not Stated"", ""Not on Certificate"", ""Excluded"", and ""Not Reported"" from the"
"denominator when calculating percentages."
"7. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"8. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational"
"Age"" measure."
